year,month,day,hour,O3_forecast,NO2_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,NO2_satellite,HCHO_satellite,ratio_satellite,O3_target,NO2_target
2022.00,7.00,28.00,0.00,73.35,57.54,22.99,7.68,-3.46,1.28,1.02,,,,21.28,26.75
2022.00,7.00,28.00,1.00,82.77,57.25,23.90,7.70,-1.35,0.29,0.99,,,,11.97,25.58
2022.00,7.00,28.00,2.00,92.19,56.97,23.89,7.72,0.76,-0.70,0.96,,,,11.95,23.40
2022.00,7.00,28.00,3.00,101.62,56.68,23.92,7.74,2.87,-1.69,0.93,,,,15.30,18.80
2022.00,7.00,28.00,4.00,113.51,64.06,25.55,7.81,2.45,-1.15,0.66,,,,17.15,21.03
2022.00,7.00,28.00,5.00,125.41,71.44,26.54,7.88,2.03,-0.61,0.39,,,,38.78,27.55
2022.00,7.00,28.00,6.00,137.30,78.83,29.45,7.95,1.60,-0.07,0.13,,,,58.83,26.30
2022.00,7.00,28.00,7.00,134.39,85.40,28.98,7.86,0.90,0.44,0.17,,,,41.10,22.80
2022.00,7.00,28.00,8.00,131.48,91.97,29.62,7.78,0.19,0.96,0.21,,,,55.27,23.15
2022.00,7.00,28.00,9.00,128.57,98.54,29.04,7.69,-0.52,1.47,0.25,,,,88.88,14.85
2022.00,7.00,28.00,10.00,114.03,78.39,30.81,7.64,0.27,0.59,0.43,,,,73.45,14.15
2022.00,7.00,28.00,11.00,99.49,58.24,31.27,7.59,1.05,-0.29,0.61,,,,43.72,19.20
2022.00,7.00,28.00,12.00,84.95,38.09,32.34,7.54,1.84,-1.17,0.79,,,,29.22,33.70
2022.00,7.00,28.00,13.00,86.94,36.03,32.31,7.40,1.94,-1.39,0.94,,,,19.25,32.80
2022.00,7.00,28.00,14.00,88.93,33.97,25.62,7.26,2.05,-1.62,1.10,,,,22.05,23.50
2022.00,7.00,28.00,15.00,90.92,31.91,29.88,7.12,2.15,-1.85,1.25,,,,15.52,27.08
2022.00,7.00,28.00,16.00,94.72,37.47,28.41,7.11,2.67,-2.19,0.82,,,,11.08,33.10
2022.00,7.00,28.00,17.00,98.52,43.02,29.18,7.10,3.18,-2.53,0.39,,,,7.23,43.00
2022.00,7.00,28.00,18.00,102.32,48.57,28.27,7.09,3.70,-2.87,-0.04,,,,6.68,45.22
2022.00,7.00,28.00,19.00,94.58,48.37,26.29,6.97,4.06,-2.45,0.42,,,,6.80,41.03
2022.00,7.00,28.00,20.00,86.84,48.17,27.09,6.85,4.43,-2.03,0.87,,,,5.30,36.07
2022.00,7.00,28.00,21.00,79.10,47.96,29.61,6.73,4.80,-1.61,1.32,,,,13.42,35.70
2022.00,7.00,28.00,22.00,77.48,63.93,27.46,6.70,3.61,-1.47,1.00,,,,10.12,33.78
2022.00,7.00,28.00,23.00,75.85,79.89,27.34,6.68,2.41,-1.33,0.67,,,,8.20,31.53
2024.00,5.00,23.00,0.00,34.13,14.34,9.60,16.12,2.99,0.53,-0.84,,,,28.75,22.12
2024.00,5.00,23.00,1.00,35.41,14.45,10.43,15.86,2.98,0.70,-0.72,,,,32.48,22.62
2024.00,5.00,23.00,2.00,36.70,14.57,10.19,15.60,2.98,0.88,-0.59,,,,27.45,24.30
2024.00,5.00,23.00,3.00,37.98,14.69,8.04,15.33,2.97,1.05,-0.47,,,,25.40,23.90
2024.00,5.00,23.00,4.00,31.84,21.11,8.96,15.91,2.67,0.94,-0.41,,,,32.80,23.23
2024.00,5.00,23.00,5.00,25.70,27.54,7.64,16.49,2.36,0.82,-0.35,,,,37.33,23.48
2024.00,5.00,23.00,6.00,19.56,33.96,9.06,17.07,2.06,0.71,-0.30,,,,54.80,21.12
2024.00,5.00,23.00,7.00,20.42,31.97,6.84,16.48,2.19,1.01,-0.55,0.74,1.78,0.41,51.70,19.88
2024.00,5.00,23.00,8.00,21.29,29.98,8.07,15.89,2.32,1.31,-0.81,,,,64.20,18.83
2024.00,5.00,23.00,9.00,22.15,27.99,7.35,15.30,2.44,1.61,-1.07,0.69,1.96,0.35,72.00,17.05
2024.00,5.00,23.00,10.00,19.95,31.76,7.57,15.88,2.29,1.27,-0.59,,,,76.83,16.43
