year,month,day,hour,O3_forecast,NO2_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,NO2_satellite,HCHO_satellite,ratio_satellite,O3_target,NO2_target
2022.00,7.00,28.00,0.00,77.63,57.86,23.12,7.50,-2.18,0.80,0.89,,,,11.03,26.02
2022.00,7.00,28.00,1.00,93.01,60.40,24.00,7.53,-0.74,0.02,0.88,,,,15.40,25.15
2022.00,7.00,28.00,2.00,108.39,62.95,23.50,7.55,0.70,-0.76,0.88,,,,13.37,24.67
2022.00,7.00,28.00,3.00,123.77,65.49,23.85,7.57,2.14,-1.54,0.87,,,,31.15,42.00
2022.00,7.00,28.00,4.00,134.51,69.21,24.70,7.51,1.84,-1.20,0.57,,,,24.33,47.20
2022.00,7.00,28.00,5.00,145.25,72.92,26.30,7.45,1.54,-0.87,0.28,,,,22.03,55.77
2022.00,7.00,28.00,6.00,155.98,76.64,29.02,7.40,1.24,-0.53,-0.02,,,,18.65,59.10
2022.00,7.00,28.00,7.00,147.55,80.74,28.66,7.51,0.81,0.29,0.29,,,,37.52,44.28
2022.00,7.00,28.00,8.00,139.11,84.85,29.09,7.62,0.39,1.11,0.60,,,,29.02,52.77
2022.00,7.00,28.00,9.00,130.67,88.95,28.74,7.73,-0.04,1.93,0.91,,,,63.10,46.00
2022.00,7.00,28.00,10.00,116.33,73.46,32.92,7.84,0.46,0.88,0.89,,,,44.00,48.35
2022.00,7.00,28.00,11.00,102.00,57.96,30.60,7.94,0.96,-0.17,0.88,,,,18.17,60.88
2022.00,7.00,28.00,12.00,87.66,42.47,34.04,8.05,1.46,-1.22,0.87,,,,27.42,51.38
2022.00,7.00,28.00,13.00,84.55,40.24,32.15,7.65,1.55,-1.37,1.08,,,,11.82,64.45
2022.00,7.00,28.00,14.00,81.45,38.00,28.84,7.25,1.64,-1.51,1.29,,,,19.32,55.65
2022.00,7.00,28.00,15.00,78.34,35.77,29.71,6.85,1.73,-1.66,1.50,,,,17.15,52.38
2022.00,7.00,28.00,16.00,86.45,42.51,29.22,6.93,2.26,-2.05,0.97,,,,12.55,59.28
2022.00,7.00,28.00,17.00,94.56,49.25,28.41,7.01,2.79,-2.45,0.45,,,,11.45,61.12
