year,month,day,hour,O3_forecast,NO2_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,NO2_satellite,HCHO_satellite,ratio_satellite,O3_target,NO2_target
2022.00,7.00,28.00,0.00,79.80,31.62,23.41,7.18,-0.94,1.02,1.01,,,,2.92,10.38
2022.00,7.00,28.00,1.00,98.98,33.98,24.17,7.20,-0.09,0.18,0.75,,,,2.40,7.90
2022.00,7.00,28.00,2.00,118.16,36.34,23.36,7.21,0.77,-0.65,0.49,,,,3.07,13.07
2022.00,7.00,28.00,3.00,137.33,38.70,23.99,7.22,1.62,-1.48,0.23,,,,3.65,12.78
2022.00,7.00,28.00,4.00,146.15,43.56,24.85,7.23,1.25,-1.24,0.30,,,,5.45,10.75
2022.00,7.00,28.00,5.00,154.97,48.43,26.38,7.24,0.88,-1.01,0.37,,,,8.47,7.95
2022.00,7.00,28.00,6.00,163.78,53.30,28.91,7.24,0.51,-0.78,0.44,,,,6.18,11.90
2022.00,7.00,28.00,7.00,160.73,54.38,27.97,7.46,0.63,-0.32,0.33,,,,13.15,9.63
2022.00,7.00,28.00,8.00,157.68,55.46,28.93,7.68,0.75,0.14,0.22,,,,16.25,11.05
2022.00,7.00,28.00,9.00,154.63,56.54,28.74,7.90,0.87,0.60,0.11,,,,15.12,15.80
2022.00,7.00,28.00,10.00,133.13,45.29,33.22,7.80,0.98,0.04,0.13,,,,14.25,15.05
2022.00,7.00,28.00,11.00,111.63,34.04,30.63,7.69,1.09,-0.53,0.14,,,,8.53,13.20
2022.00,7.00,28.00,12.00,90.13,22.79,32.68,7.59,1.19,-1.09,0.16,,,,3.55,16.00
2022.00,7.00,28.00,13.00,86.74,21.42,32.84,7.23,1.30,-1.24,0.74,,,,3.85,16.27
2022.00,7.00,28.00,14.00,83.35,20.05,29.82,6.87,1.41,-1.39,1.32,,,,5.45,13.45
2022.00,7.00,28.00,15.00,79.95,18.68,29.97,6.51,1.52,-1.54,1.90,,,,3.40,16.22
2022.00,7.00,28.00,16.00,82.89,23.51,28.52,6.67,2.04,-1.90,1.29,,,,2.55,15.22
2022.00,7.00,28.00,17.00,85.83,28.34,29.41,6.82,2.57,-2.26,0.69,,,,2.20,15.38
2022.00,7.00,28.00,18.00,88.77,33.17,28.47,6.98,3.09,-2.62,0.08,,,,3.52,13.68
2022.00,7.00,28.00,19.00,83.60,32.66,26.55,6.81,3.49,-2.23,0.27,,,,2.48,14.82
2022.00,7.00,28.00,20.00,78.43,32.15,28.07,6.64,3.88,-1.84,0.46,,,,1.70,14.45
2022.00,7.00,28.00,21.00,73.26,31.64,31.69,6.47,4.28,-1.45,0.65,,,,3.58,11.30
2022.00,7.00,28.00,22.00,78.16,43.07,26.80,6.79,3.14,-1.50,0.41,,,,3.27,7.50
2022.00,7.00,28.00,23.00,83.06,54.50,27.99,7.12,2.00,-1.55,0.16,,,,2.17,10.22
2024.00,5.00,23.00,0.00,43.31,9.13,9.27,15.70,3.82,1.18,0.69,,,,44.22,8.50
2024.00,5.00,23.00,1.00,44.25,9.14,10.02,15.54,3.82,1.36,0.94,,,,31.70,22.22
2024.00,5.00,23.00,2.00,45.19,9.15,10.19,15.39,3.82,1.55,1.18,,,,24.90,24.23
2024.00,5.00,23.00,3.00,46.13,9.16,8.16,15.24,3.83,1.73,1.43,,,,24.97,27.65
2024.00,5.00,23.00,4.00,45.17,9.48,8.54,15.09,3.65,1.42,1.35,,,,28.92,26.53
2024.00,5.00,23.00,5.00,44.20,9.80,8.50,14.94,3.48,1.11,1.28,,,,37.52,26.10
2024.00,5.00,23.00,6.00,43.24,10.13,9.64,14.79,3.31,0.79,1.21,,,,46.70,20.73
2024.00,5.00,23.00,7.00,44.50,9.86,7.84,14.52,3.46,0.99,1.37,0.64,1.41,0.45,55.92,18.07
2024.00,5.00,23.00,8.00,45.75,9.59,8.29,14.25,3.62,1.19,1.53,,,,65.57,14.52
2024.00,5.00,23.00,9.00,47.01,9.33,6.90,13.99,3.78,1.39,1.69,0.58,1.19,0.49,66.55,16.25
2024.00,5.00,23.00,10.00,47.12,9.54,7.46,14.29,3.59,1.23,1.99,,,,71.28,17.48
2024.00,5.00,23.00,11.00,47.22,9.75,6.14,14.59,3.41,1.07,2.29,,,,74.25,14.23
2024.00,5.00,23.00,12.00,47.33,9.96,8.21,14.90,3.22,0.91,2.59,,,,72.30,16.77
2024.00,5.00,23.00,13.00,43.01,13.37,7.88,15.02,3.21,0.91,2.56,,,,67.70,25.52
2024.00,5.00,23.00,14.00,38.70,16.78,8.73,15.14,3.19,0.91,2.54,,,,57.23,34.00
2024.00,5.00,23.00,15.00,34.38,20.20,9.11,15.26,3.18,0.91,2.51,,,,44.55,44.45
2024.00,5.00,23.00,16.00,23.06,36.07,9.89,15.65,2.53,0.99,2.08,,,,36.48,48.62
2024.00,5.00,23.00,17.00,11.74,51.95,10.99,16.04,1.89,1.06,1.64,,,,34.95,45.20
2024.00,5.00,23.00,18.00,0.41,67.83,13.26,16.43,1.24,1.14,1.21,,,,30.48,40.40
