year,month,day,hour,O3_forecast,NO2_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,NO2_satellite,HCHO_satellite,ratio_satellite
2024.00,5.00,5.00,0.00,7.93,69.81,20.71,11.12,-0.17,-1.87,-1.56,,,
2024.00,5.00,5.00,1.00,13.16,66.96,19.11,10.73,-0.57,-0.63,-1.54,,,
2024.00,5.00,5.00,2.00,18.40,64.12,19.24,10.34,-0.97,0.61,-1.52,,,
2024.00,5.00,5.00,3.00,23.63,61.28,19.62,9.95,-1.37,1.85,-1.49,,,
2024.00,5.00,5.00,4.00,26.54,55.63,19.74,9.69,-0.40,0.55,-1.42,,,
2024.00,5.00,5.00,5.00,29.45,49.99,19.25,9.43,0.58,-0.75,-1.35,,,
2024.00,5.00,5.00,6.00,32.36,44.34,19.37,9.17,1.55,-2.05,-1.27,,,
2024.00,5.00,5.00,7.00,32.45,45.76,19.38,8.73,1.23,-2.13,-0.87,,,
2024.00,5.00,5.00,8.00,32.53,47.18,19.41,8.30,0.91,-2.20,-0.47,0.64,2.53,0.25
2024.00,5.00,5.00,9.00,32.62,48.60,20.65,7.86,0.58,-2.27,-0.07,,,
2024.00,5.00,5.00,10.00,32.00,48.64,20.35,8.23,1.11,-2.21,-0.23,,,
2024.00,5.00,5.00,11.00,31.38,48.67,21.60,8.59,1.63,-2.16,-0.39,,,
2024.00,5.00,5.00,12.00,30.75,48.71,21.48,8.95,2.15,-2.10,-0.55,,,
2024.00,5.00,5.00,13.00,31.79,48.42,18.99,8.46,2.06,-1.99,-0.60,,,
2024.00,5.00,5.00,14.00,32.83,48.13,19.46,7.96,1.98,-1.87,-0.64,,,
2024.00,5.00,5.00,15.00,33.86,47.84,17.89,7.46,1.89,-1.76,-0.68,,,
2024.00,5.00,5.00,16.00,33.74,49.18,17.96,7.31,1.62,-1.95,-0.35,,,
2024.00,5.00,5.00,17.00,33.62,50.52,16.35,7.16,1.35,-2.14,-0.01,,,
2024.00,5.00,5.00,18.00,33.50,51.86,16.37,7.01,1.08,-2.34,0.32,,,
2024.00,5.00,5.00,19.00,32.92,52.05,20.08,6.84,1.18,-2.21,-0.20,,,
2024.00,5.00,5.00,20.00,32.33,52.24,17.06,6.66,1.27,-2.08,-0.73,,,
2024.00,5.00,5.00,21.00,31.74,52.43,15.39,6.49,1.36,-1.95,-1.25,,,
2024.00,5.00,5.00,22.00,39.50,49.13,18.34,6.45,1.67,-1.86,-1.41,,,
2024.00,5.00,5.00,23.00,47.25,45.82,18.27,6.41,1.99,-1.78,-1.58,,,
2022.00,3.00,26.00,0.00,130.89,18.32,14.52,6.27,0.42,-0.49,-0.15,,,
2022.00,3.00,26.00,1.00,129.03,19.79,18.35,6.09,0.60,-0.94,-0.04,,,
2022.00,3.00,26.00,2.00,127.16,21.25,21.55,5.91,0.78,-1.39,0.07,,,
2022.00,3.00,26.00,3.00,125.29,22.72,19.41,5.73,0.96,-1.84,0.18,,,
2022.00,3.00,26.00,4.00,117.73,23.92,18.60,5.44,0.98,-0.99,0.30,,,
2022.00,3.00,26.00,5.00,110.17,25.12,17.67,5.16,0.99,-0.13,0.42,,,
2022.00,3.00,26.00,6.00,102.62,26.32,18.72,4.87,1.01,0.72,0.54,,,
2022.00,3.00,26.00,7.00,109.77,25.47,17.81,5.85,0.25,0.75,1.11,,,
2022.00,3.00,26.00,8.00,116.92,24.61,20.58,6.82,-0.51,0.79,1.68,,,
2022.00,3.00,26.00,9.00,124.08,23.76,22.50,7.79,-1.27,0.82,2.24,0.18,0.55,0.33
2022.00,3.00,26.00,10.00,140.89,25.70,16.13,7.86,-2.45,-0.14,1.49,,,
