year,month,day,hour,O3_forecast,NO2_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,NO2_satellite,HCHO_satellite,ratio_satellite
2024.00,5.00,5.00,0.00,0.03,88.14,21.63,11.25,-0.48,-2.14,0.80,,,
2024.00,5.00,5.00,1.00,14.07,72.83,19.79,10.84,-0.54,-0.80,1.03,,,
2024.00,5.00,5.00,2.00,28.10,57.52,19.78,10.43,-0.61,0.54,1.26,,,
2024.00,5.00,5.00,3.00,42.14,42.21,20.63,10.02,-0.67,1.88,1.49,,,
2024.00,5.00,5.00,4.00,30.96,52.81,20.09,9.72,-0.04,0.55,1.75,,,
2024.00,5.00,5.00,5.00,19.77,63.42,19.41,9.42,0.58,-0.77,2.01,,,
2024.00,5.00,5.00,6.00,8.59,74.03,19.05,9.11,1.21,-2.10,2.27,,,
2024.00,5.00,5.00,7.00,6.44,80.40,19.92,8.63,0.80,-2.19,2.38,,,
2024.00,5.00,5.00,8.00,4.29,86.76,20.13,8.14,0.38,-2.29,2.49,1.08,3.72,0.29
2024.00,5.00,5.00,9.00,2.15,93.13,20.54,7.65,-0.04,-2.38,2.59,,,
2024.00,5.00,5.00,10.00,3.92,87.82,21.53,8.04,0.60,-2.35,2.56,,,
2024.00,5.00,5.00,11.00,5.69,82.51,22.33,8.42,1.24,-2.32,2.53,,,
2024.00,5.00,5.00,12.00,7.46,77.20,23.39,8.80,1.87,-2.29,2.50,,,
2024.00,5.00,5.00,13.00,6.26,79.82,19.31,8.19,1.75,-2.29,2.44,,,
2024.00,5.00,5.00,14.00,5.05,82.43,19.63,7.59,1.63,-2.29,2.37,,,
2024.00,5.00,5.00,15.00,3.85,85.05,19.69,6.99,1.51,-2.28,2.31,,,
2024.00,5.00,5.00,16.00,2.60,89.61,18.55,6.81,1.43,-2.34,2.44,,,
2024.00,5.00,5.00,17.00,1.35,94.18,16.79,6.62,1.34,-2.39,2.57,,,
2024.00,5.00,5.00,18.00,0.10,98.74,17.93,6.44,1.26,-2.44,2.69,,,
2024.00,5.00,5.00,19.00,0.15,96.27,21.17,6.35,1.42,-2.07,2.47,,,
2024.00,5.00,5.00,20.00,0.21,93.79,17.85,6.27,1.57,-1.70,2.24,,,
2024.00,5.00,5.00,21.00,0.27,91.32,16.14,6.18,1.72,-1.33,2.02,,,
2024.00,5.00,5.00,22.00,14.80,79.76,19.28,6.18,1.79,-1.59,1.89,,,
2024.00,5.00,5.00,23.00,29.34,68.20,18.44,6.18,1.87,-1.84,1.76,,,
2022.00,3.00,26.00,0.00,130.97,18.08,14.34,5.59,-1.01,-1.20,0.61,,,
2022.00,3.00,26.00,1.00,129.45,19.05,18.35,5.48,-0.80,-1.27,0.62,,,
2022.00,3.00,26.00,2.00,127.93,20.02,21.59,5.36,-0.60,-1.35,0.64,,,
2022.00,3.00,26.00,3.00,126.41,20.99,19.50,5.24,-0.39,-1.42,0.65,,,
2022.00,3.00,26.00,4.00,122.65,26.55,18.26,5.22,-0.21,-0.20,1.82,,,
2022.00,3.00,26.00,5.00,118.89,32.11,19.28,5.19,-0.03,1.02,2.99,,,
2022.00,3.00,26.00,6.00,115.14,37.66,18.66,5.16,0.15,2.24,4.16,,,
2022.00,3.00,26.00,7.00,119.63,31.45,18.15,6.07,-0.38,1.48,4.47,,,
2022.00,3.00,26.00,8.00,124.11,25.23,20.78,6.97,-0.91,0.73,4.79,,,
2022.00,3.00,26.00,9.00,128.60,19.01,22.52,7.88,-1.44,-0.03,5.10,0.66,0.46,1.42
2022.00,3.00,26.00,10.00,153.27,21.62,17.54,7.68,-2.70,-0.97,3.68,,,
2022.00,3.00,26.00,11.00,177.94,24.23,18.98,7.47,-3.96,-1.92,2.27,,,
2022.00,3.00,26.00,12.00,202.60,26.84,18.78,7.27,-5.22,-2.86,0.85,,,
2022.00,3.00,26.00,13.00,179.09,25.19,19.24,7.65,-3.52,-2.51,2.12,,,
2022.00,3.00,26.00,14.00,155.58,23.53,18.89,8.03,-1.83,-2.15,3.40,,,
2022.00,3.00,26.00,15.00,132.07,21.88,20.19,8.42,-0.13,-1.80,4.67,,,
2022.00,3.00,26.00,16.00,139.13,22.02,20.93,7.19,-0.10,-0.58,3.42,,,
2022.00,3.00,26.00,17.00,146.20,22.16,21.73,5.95,-0.07,0.63,2.17,,,
2022.00,3.00,26.00,18.00,153.27,22.30,21.18,4.72,-0.04,1.85,0.92,,,
2022.00,3.00,26.00,19.00,159.88,23.59,20.66,4.68,0.20,1.22,0.61,,,
2022.00,3.00,26.00,20.00,166.49,24.87,21.14,4.63,0.45,0.59,0.30,,,
2022.00,3.00,26.00,21.00,173.11,26.15,24.50,4.59,0.69,-0.04,-0.02,,,
2022.00,3.00,26.00,22.00,169.61,25.74,19.70,4.58,1.25,0.21,0.21,,,
