year,month,day,hour,O3_forecast,NO2_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,NO2_satellite,HCHO_satellite,ratio_satellite,O3_target,NO2_target
2022.00,7.00,28.00,0.00,77.63,57.86,23.12,7.50,-2.18,0.80,0.89,,,,11.72,23.75
2022.00,7.00,28.00,1.00,93.01,60.40,24.00,7.53,-0.74,0.02,0.88,,,,6.35,30.00
2022.00,7.00,28.00,2.00,108.39,62.95,23.50,7.55,0.70,-0.76,0.88,,,,9.45,23.75
2022.00,7.00,28.00,3.00,123.77,65.49,23.85,7.57,2.14,-1.54,0.87,,,,8.70,30.90
2022.00,7.00,28.00,4.00,134.51,69.21,24.70,7.51,1.84,-1.20,0.57,,,,12.70,32.83
2022.00,7.00,28.00,5.00,145.25,72.92,26.30,7.45,1.54,-0.87,0.28,,,,21.78,40.62
2022.00,7.00,28.00,6.00,155.98,76.64,29.02,7.40,1.24,-0.53,-0.02,,,,26.70,41.70
2022.00,7.00,28.00,7.00,147.55,80.74,28.66,7.51,0.81,0.29,0.29,,,,26.93,40.50
2022.00,7.00,28.00,8.00,139.11,84.85,29.09,7.62,0.39,1.11,0.60,,,,36.40,30.50
2022.00,7.00,28.00,9.00,130.67,88.95,28.74,7.73,-0.04,1.93,0.91,,,,39.10,34.67
2022.00,7.00,28.00,10.00,116.33,73.46,32.92,7.84,0.46,0.88,0.89,,,,26.93,37.88
2022.00,7.00,28.00,11.00,102.00,57.96,30.60,7.94,0.96,-0.17,0.88,,,,8.47,48.75
2022.00,7.00,28.00,12.00,87.66,42.47,34.04,8.05,1.46,-1.22,0.87,,,,7.27,43.65
2022.00,7.00,28.00,13.00,84.55,40.24,32.15,7.65,1.55,-1.37,1.08,,,,5.48,47.30
2022.00,7.00,28.00,14.00,81.45,38.00,28.84,7.25,1.64,-1.51,1.29,,,,3.15,56.25
2022.00,7.00,28.00,15.00,78.34,35.77,29.71,6.85,1.73,-1.66,1.50,,,,4.20,45.95
2022.00,7.00,28.00,16.00,86.45,42.51,29.22,6.93,2.26,-2.05,0.97,,,,2.72,49.12
2022.00,7.00,28.00,17.00,94.56,49.25,28.41,7.01,2.79,-2.45,0.45,,,,3.12,43.22
2022.00,7.00,28.00,18.00,102.67,55.99,28.29,7.09,3.33,-2.84,-0.08,,,,3.75,37.75
2022.00,7.00,28.00,19.00,93.59,54.98,25.93,6.89,3.72,-2.40,0.35,,,,3.57,32.30
2022.00,7.00,28.00,20.00,84.50,53.97,27.03,6.70,4.11,-1.96,0.78,,,,3.20,24.45
