year,month,day,hour,O3_forecast,NO2_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,NO2_satellite,HCHO_satellite,ratio_satellite
2022.00,3.00,26.00,0.00,133.99,4.62,15.36,5.72,-0.86,-2.04,0.16,,,
2022.00,3.00,26.00,1.00,134.52,4.35,18.81,5.57,-0.76,-1.97,0.32,,,
2022.00,3.00,26.00,2.00,135.04,4.07,21.69,5.43,-0.67,-1.89,0.49,,,
2022.00,3.00,26.00,3.00,135.57,3.80,20.00,5.29,-0.58,-1.82,0.65,,,
2022.00,3.00,26.00,4.00,133.06,11.79,19.24,5.30,-0.36,-0.69,-0.55,,,
2022.00,3.00,26.00,5.00,130.56,19.79,18.55,5.31,-0.14,0.44,-1.76,,,
2022.00,3.00,26.00,6.00,128.05,27.79,19.92,5.32,0.07,1.57,-2.96,,,
2022.00,3.00,26.00,7.00,128.89,19.81,19.43,6.27,-0.41,1.27,-1.28,,,
2022.00,3.00,26.00,8.00,129.73,11.82,21.90,7.22,-0.90,0.96,0.41,,,
2022.00,3.00,26.00,9.00,130.56,3.84,23.08,8.16,-1.38,0.66,2.09,0.31,0.56,0.55
2022.00,3.00,26.00,10.00,145.80,4.40,17.43,7.72,-2.61,-0.47,1.03,,,
2022.00,3.00,26.00,11.00,161.04,4.96,19.22,7.28,-3.83,-1.61,-0.03,,,
2022.00,3.00,26.00,12.00,176.28,5.52,19.21,6.85,-5.06,-2.74,-1.09,,,
2022.00,3.00,26.00,13.00,161.70,6.19,19.69,6.92,-2.88,-2.48,-0.52,,,
2022.00,3.00,26.00,14.00,147.13,6.86,19.74,6.99,-0.70,-2.22,0.06,,,
2022.00,3.00,26.00,15.00,132.55,7.53,20.74,7.06,1.48,-1.95,0.63,,,
2022.00,3.00,26.00,16.00,140.66,6.52,22.24,6.22,1.12,-0.69,0.08,,,
2022.00,3.00,26.00,17.00,148.76,5.51,22.59,5.37,0.75,0.58,-0.46,,,
2022.00,3.00,26.00,18.00,156.87,4.50,20.60,4.53,0.39,1.85,-1.01,,,
2022.00,3.00,26.00,19.00,162.70,4.80,21.05,4.46,1.08,1.28,-0.82,,,
2022.00,3.00,26.00,20.00,168.52,5.10,21.70,4.38,1.77,0.71,-0.64,,,
2022.00,3.00,26.00,21.00,174.35,5.39,24.63,4.31,2.47,0.14,-0.45,,,
2022.00,3.00,26.00,22.00,170.13,5.63,19.73,4.40,2.46,0.04,-0.35,,,
2022.00,3.00,26.00,23.00,165.92,5.86,16.71,4.49,2.45,-0.05,-0.26,,,
2019.00,11.00,22.00,0.00,64.60,10.48,8.36,14.37,2.84,-1.14,2.95,,,
2019.00,11.00,22.00,1.00,49.72,23.91,9.25,13.90,3.10,-1.16,2.89,,,
2019.00,11.00,22.00,2.00,34.84,37.35,9.85,13.43,3.36,-1.18,2.83,,,
2019.00,11.00,22.00,3.00,19.96,50.79,9.17,12.96,3.62,-1.20,2.78,,,
2019.00,11.00,22.00,4.00,36.86,39.54,7.84,13.94,4.02,-0.99,3.09,,,
2019.00,11.00,22.00,5.00,53.75,28.30,8.22,14.92,4.42,-0.79,3.41,,,
2019.00,11.00,22.00,6.00,70.64,17.05,7.21,15.91,4.82,-0.59,3.73,,,
2019.00,11.00,22.00,7.00,71.22,15.71,10.40,16.79,4.39,-0.21,3.12,,,
2019.00,11.00,22.00,8.00,71.79,14.36,10.78,17.67,3.95,0.17,2.52,,,
2019.00,11.00,22.00,9.00,72.36,13.01,9.97,18.56,3.51,0.55,1.92,,,
2019.00,11.00,22.00,10.00,64.22,14.80,9.27,18.94,2.63,0.19,2.11,,,
2019.00,11.00,22.00,11.00,56.07,16.59,9.06,19.33,1.75,-0.18,2.30,,,
2019.00,11.00,22.00,12.00,47.92,18.37,9.50,19.71,0.87,-0.55,2.50,,,
2019.00,11.00,22.00,13.00,55.72,14.14,9.39,18.60,1.24,-0.20,3.69,,,
2019.00,11.00,22.00,14.00,63.53,9.92,8.80,17.49,1.62,0.16,4.88,,,
2019.00,11.00,22.00,15.00,71.33,5.69,8.49,16.37,1.99,0.52,6.08,,,
2019.00,11.00,22.00,16.00,63.07,9.17,6.51,16.97,2.39,0.49,5.10,,,
2019.00,11.00,22.00,17.00,54.82,12.65,6.50,17.57,2.79,0.47,4.13,,,
2019.00,11.00,22.00,18.00,46.57,16.14,6.13,18.17,3.20,0.44,3.15,,,
2019.00,11.00,22.00,19.00,43.86,18.77,5.86,18.43,2.81,0.78,2.04,,,
2019.00,11.00,22.00,20.00,41.14,21.40,9.46,18.70,2.42,1.11,0.92,,,
2019.00,11.00,22.00,21.00,38.43,24.04,10.41,18.96,2.03,1.45,-0.19,,,
2019.00,11.00,22.00,22.00,30.30,33.42,6.26,19.60,2.51,1.13,-0.11,,,
2019.00,11.00,22.00,23.00,22.17,42.80,6.76,20.24,3.00,0.82,-0.02,,,
2020.00,8.00,21.00,0.00,35.70,33.07,20.36,21.82,2.88,-1.33,3.18,,,
2020.00,8.00,21.00,1.00,51.77,29.04,21.34,21.18,1.50,-0.32,2.29,,,
2020.00,8.00,21.00,2.00,67.84,25.01,21.85,20.53,0.11,0.70,1.41,,,
2020.00,8.00,21.00,3.00,83.90,20.98,21.29,19.88,-1.28,1.71,0.53,,,
2020.00,8.00,21.00,4.00,85.06,24.02,22.96,20.02,-1.72,1.87,-0.14,,,
2020.00,8.00,21.00,5.00,86.22,27.07,21.73,20.16,-2.17,2.03,-0.81,,,
2020.00,8.00,21.00,6.00,87.37,30.11,22.60,20.30,-2.61,2.18,-1.48,,,
2020.00,8.00,21.00,7.00,88.86,24.39,22.03,20.30,-2.27,1.97,-0.76,0.46,0.93,0.49
2020.00,8.00,21.00,8.00,90.35,18.66,21.35,20.30,-1.93,1.76,-0.05,,,
2020.00,8.00,21.00,9.00,91.84,12.94,21.32,20.30,-1.59,1.55,0.66,0.29,0.87,0.33
2020.00,8.00,21.00,10.00,77.70,17.85,19.86,20.19,-0.98,1.33,0.71,,,
2020.00,8.00,21.00,11.00,63.56,22.76,19.35,20.08,-0.37,1.12,0.76,,,
2020.00,8.00,21.00,12.00,49.42,27.67,17.87,19.97,0.25,0.90,0.82,,,
2020.00,8.00,21.00,13.00,63.77,24.06,18.69,19.85,1.87,0.85,0.90,,,
2020.00,8.00,21.00,14.00,78.12,20.45,20.24,19.74,3.49,0.79,0.99,,,
2020.00,8.00,21.00,15.00,92.47,16.85,21.58,19.63,5.11,0.74,1.07,,,
2020.00,8.00,21.00,16.00,98.46,16.71,18.89,19.63,4.76,0.62,0.81,,,
2020.00,8.00,21.00,17.00,104.45,16.57,19.97,19.63,4.40,0.50,0.55,,,
2020.00,8.00,21.00,18.00,110.45,16.43,19.16,19.62,4.05,0.39,0.28,,,
2020.00,8.00,21.00,19.00,110.62,16.07,18.85,19.86,3.99,0.17,-0.07,,,
2020.00,8.00,21.00,20.00,110.79,15.70,18.70,20.10,3.94,-0.05,-0.42,,,
2020.00,8.00,21.00,21.00,110.96,15.34,18.19,20.34,3.88,-0.26,-0.77,,,
2020.00,8.00,21.00,22.00,107.87,18.02,18.30,20.35,3.66,-0.09,-0.75,,,
2020.00,8.00,21.00,23.00,104.79,20.70,17.30,20.36,3.45,0.07,-0.74,,,
2021.00,2.00,20.00,0.00,126.21,13.47,22.40,21.63,2.62,-1.27,-3.45,,,
2021.00,2.00,20.00,1.00,128.24,11.41,23.01,21.32,2.07,-1.88,-3.40,,,
2021.00,2.00,20.00,2.00,130.28,9.35,22.19,21.01,1.53,-2.50,-3.34,,,
2021.00,2.00,20.00,3.00,132.31,7.30,22.79,20.70,0.99,-3.11,-3.29,,,
2021.00,2.00,20.00,4.00,137.71,8.01,23.12,20.39,0.67,-2.91,-3.77,,,
2021.00,2.00,20.00,5.00,143.11,8.73,23.31,20.08,0.35,-2.71,-4.24,,,
2021.00,2.00,20.00,6.00,148.51,9.44,22.19,19.77,0.02,-2.51,-4.71,,,
2021.00,2.00,20.00,7.00,137.96,9.82,22.36,20.05,-2.78,-0.82,-4.14,,,
2021.00,2.00,20.00,8.00,127.40,10.20,22.54,20.33,-5.58,0.86,-3.56,0.59,1.14,0.52
2021.00,2.00,20.00,9.00,116.84,10.58,23.15,20.61,-8.39,2.55,-2.99,,,
2021.00,2.00,20.00,10.00,125.15,10.34,22.85,20.42,-6.70,3.01,-3.18,,,
2021.00,2.00,20.00,11.00,133.47,10.11,23.22,20.23,-5.01,3.48,-3.38,,,
2021.00,2.00,20.00,12.00,141.78,9.87,22.11,20.04,-3.32,3.94,-3.58,,,
2021.00,2.00,20.00,13.00,154.69,10.01,21.58,19.50,-1.81,2.53,-3.29,,,
