year,month,day,hour,O3_forecast,NO2_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,NO2_satellite,HCHO_satellite,ratio_satellite,O3_target,NO2_target
2022.00,7.00,28.00,0.00,73.35,57.54,22.99,7.68,-3.46,1.28,1.02,,,,31.55,28.60
2022.00,7.00,28.00,1.00,82.77,57.25,23.90,7.70,-1.35,0.29,0.99,,,,34.73,34.30
2022.00,7.00,28.00,2.00,92.19,56.97,23.89,7.72,0.76,-0.70,0.96,,,,39.92,28.20
2022.00,7.00,28.00,3.00,101.62,56.68,23.92,7.74,2.87,-1.69,0.93,,,,41.10,22.95
2022.00,7.00,28.00,4.00,113.51,64.06,25.55,7.81,2.45,-1.15,0.66,,,,45.50,14.45
2022.00,7.00,28.00,5.00,125.41,71.44,26.54,7.88,2.03,-0.61,0.39,,,,57.55,14.52
2022.00,7.00,28.00,6.00,137.30,78.83,29.45,7.95,1.60,-0.07,0.13,,,,67.47,15.40
2022.00,7.00,28.00,7.00,134.39,85.40,28.98,7.86,0.90,0.44,0.17,,,,62.98,17.38
2022.00,7.00,28.00,8.00,131.48,91.97,29.62,7.78,0.19,0.96,0.21,,0.43,,79.62,13.75
2022.00,7.00,28.00,9.00,128.57,98.54,29.04,7.69,-0.52,1.47,0.25,,,,91.88,13.95
2022.00,7.00,28.00,10.00,114.03,78.39,30.81,7.64,0.27,0.59,0.43,,,,65.30,11.40
2022.00,7.00,28.00,11.00,99.49,58.24,31.27,7.59,1.05,-0.29,0.61,,,,64.00,14.72
2022.00,7.00,28.00,12.00,84.95,38.09,32.34,7.54,1.84,-1.17,0.79,,,,55.38,25.45
2022.00,7.00,28.00,13.00,86.94,36.03,32.31,7.40,1.94,-1.39,0.94,,,,51.35,16.75
2022.00,7.00,28.00,14.00,88.93,33.97,25.62,7.26,2.05,-1.62,1.10,,,,51.40,11.45
2022.00,7.00,28.00,15.00,90.92,31.91,29.88,7.12,2.15,-1.85,1.25,,,,45.03,14.50
2022.00,7.00,28.00,16.00,94.72,37.47,28.41,7.11,2.67,-2.19,0.82,,,,41.73,22.20
2022.00,7.00,28.00,17.00,98.52,43.02,29.18,7.10,3.18,-2.53,0.39,,,,42.17,19.20
2022.00,7.00,28.00,18.00,102.32,48.57,28.27,7.09,3.70,-2.87,-0.04,,,,37.92,24.07
2022.00,7.00,28.00,19.00,94.58,48.37,26.29,6.97,4.06,-2.45,0.42,,,,38.07,21.88
2022.00,7.00,28.00,20.00,86.84,48.17,27.09,6.85,4.43,-2.03,0.87,,,,40.70,15.33
2022.00,7.00,28.00,21.00,79.10,47.96,29.61,6.73,4.80,-1.61,1.32,,,,50.40,15.60
2022.00,7.00,28.00,22.00,77.48,63.93,27.46,6.70,3.61,-1.47,1.00,,,,44.40,23.22
2022.00,7.00,28.00,23.00,75.85,79.89,27.34,6.68,2.41,-1.33,0.67,,,,38.42,19.15
2024.00,5.00,23.00,0.00,34.13,14.34,9.60,16.12,2.99,0.53,-0.84,,,,25.62,42.65
2024.00,5.00,23.00,1.00,35.41,14.45,10.43,15.86,2.98,0.70,-0.72,,,,31.67,30.73
2024.00,5.00,23.00,2.00,36.70,14.57,10.19,15.60,2.98,0.88,-0.59,,,,38.22,26.27
2024.00,5.00,23.00,3.00,37.98,14.69,8.04,15.33,2.97,1.05,-0.47,,,,53.85,22.92
2024.00,5.00,23.00,4.00,31.84,21.11,8.96,15.91,2.67,0.94,-0.41,,,,67.05,23.82
2024.00,5.00,23.00,5.00,25.70,27.54,7.64,16.49,2.36,0.82,-0.35,,,,85.33,22.73
2024.00,5.00,23.00,6.00,19.56,33.96,9.06,17.07,2.06,0.71,-0.30,,,,90.77,16.20
2024.00,5.00,23.00,7.00,20.42,31.97,6.84,16.48,2.19,1.01,-0.55,0.48,2.31,0.21,114.68,13.20
2024.00,5.00,23.00,8.00,21.29,29.98,8.07,15.89,2.32,1.31,-0.81,,,,109.22,32.02
2024.00,5.00,23.00,9.00,22.15,27.99,7.35,15.30,2.44,1.61,-1.07,0.46,1.89,0.24,106.80,42.27
2024.00,5.00,23.00,10.00,19.95,31.76,7.57,15.88,2.29,1.27,-0.59,,,,103.97,50.10
2024.00,5.00,23.00,11.00,17.76,35.53,6.42,16.46,2.14,0.94,-0.12,,,,118.38,33.30
2024.00,5.00,23.00,12.00,15.56,39.30,5.39,17.03,1.99,0.61,0.35,,,,119.90,34.70
2024.00,5.00,23.00,13.00,10.58,48.97,6.86,17.26,1.89,0.65,0.54,,,,115.70,30.85
2024.00,5.00,23.00,14.00,5.60,58.63,6.82,17.49,1.78,0.69,0.72,,,,93.90,35.17
2024.00,5.00,23.00,15.00,0.62,68.30,8.47,17.72,1.68,0.73,0.91,,,,75.65,27.83
2024.00,5.00,23.00,16.00,3.95,76.29,8.40,17.90,1.23,0.75,0.54,,,,66.45,24.40
2024.00,5.00,23.00,17.00,7.28,84.28,11.04,18.09,0.78,0.77,0.17,,,,66.95,22.82
2024.00,5.00,23.00,18.00,10.61,92.27,12.29,18.28,0.33,0.79,-0.21,,,,61.20,32.00
2024.00,5.00,23.00,19.00,7.79,95.00,10.29,18.30,0.47,0.67,-0.37,,,,58.70,35.73
2024.00,5.00,23.00,20.00,4.96,97.74,9.77,18.32,0.62,0.55,-0.52,,,,55.75,37.97
2024.00,5.00,23.00,21.00,2.14,100.48,5.95,18.34,0.77,0.43,-0.68,,,,92.53,43.53
2024.00,5.00,23.00,22.00,5.96,83.39,7.35,17.65,1.23,0.49,-0.58,,,,30.25,44.17
2024.00,5.00,23.00,23.00,9.78,66.30,6.96,16.96,1.68,0.56,-0.48,,,,41.92,23.65
2022.00,7.00,24.00,0.00,58.23,57.51,14.41,8.09,1.87,-1.27,1.51,,,,41.10,15.05
2022.00,7.00,24.00,1.00,55.06,54.31,13.53,8.31,1.78,-1.19,1.49,,,,38.17,17.62
2022.00,7.00,24.00,2.00,51.89,51.10,13.64,8.53,1.69,-1.12,1.47,,,,41.95,18.68
2022.00,7.00,24.00,3.00,48.73,47.89,13.52,8.74,1.61,-1.04,1.45,,,,48.17,20.48
2022.00,7.00,24.00,4.00,49.84,57.87,11.16,8.66,1.70,-0.93,1.20,,,,58.93,18.48
2022.00,7.00,24.00,5.00,50.95,67.85,10.07,8.58,1.79,-0.82,0.95,,,,75.62,10.50
2022.00,7.00,24.00,6.00,52.06,77.83,9.31,8.50,1.88,-0.70,0.70,,,,73.10,15.65
2022.00,7.00,24.00,7.00,55.49,72.03,7.33,8.38,1.67,-0.98,0.86,,,,72.45,14.32
2022.00,7.00,24.00,8.00,58.92,66.23,9.13,8.26,1.46,-1.26,1.02,0.37,0.77,0.48,64.95,14.88
2022.00,7.00,24.00,9.00,62.34,60.43,11.54,8.14,1.24,-1.54,1.18,,,,85.22,20.73
